Time,Value
0,106683
0.06,106735
0.104,106733
0.122,106813
0.142,106864
0.163,106781
0.183,106831
0.203,106888
0.224,106855
0.243,106941
0.263,106954
0.283,106859
0.303,106938
0.323,106960
0.344,106927
0.364,107013
0.385,107048
0.403,106959
0.424,106932
0.444,106848
0.462,106708
0.482,106708
0.502,106636
0.523,106522
0.544,106568
0.562,106601
0.582,106608
0.603,106704
0.623,106694
0.643,106610
0.663,106699
0.683,106712
0.705,106709
0.723,106784
0.743,106741
0.763,106650
0.784,106685
0.804,106687
0.822,106699
0.842,106816
0.864,106763
0.882,106703
0.902,106785
0.922,106792
0.942,106828
0.963,106924
0.983,106879
1.003,106798
1.024,106891
1.043,106905
1.063,106912
1.083,107014
1.103,106966
1.123,106887
1.143,107007
1.162,106985
1.183,107009
1.203,107100
1.223,107041
1.242,107006
1.262,107072
1.282,107012
1.302,106889
1.323,106847
1.344,106673
1.362,106579
1.382,106634
1.403,106593
1.423,106628
1.443,106693
1.463,106605
1.483,106590
1.503,106664
1.523,106634
1.543,106708
1.563,106767
1.582,106663
1.602,106646
1.622,106704
1.642,106683
1.663,106744
1.682,106802
1.702,106699
1.722,106701
1.742,106782
1.762,106742
1.783,106833
1.803,106900
1.824,106794
1.843,106819
1.863,106880
1.883,106848
1.903,106934
1.921,106959
1.942,106875
1.962,106883
1.983,106957
2.001,106934
2.022,107042
2.042,107060
2.062,106967
2.082,106971
2.102,106939
2.122,106793
2.144,106791
2.162,106717
2.182,106600
2.203,106609
2.223,106647
2.243,106627
2.263,106731
2.283,106735
2.305,106652
2.323,106754
2.343,106773
2.363,106763
2.383,106865
2.402,106829
2.422,106753
2.442,106817
2.463,106829
2.482,106799
2.502,106935
2.522,106917
2.542,106834
2.562,106928
2.583,106958
2.603,106955
2.624,107053
2.643,107041
2.663,106960
2.683,107038
2.703,107053
2.723,107072
2.743,107164
2.764,107158
2.785,107077
2.803,107153
2.823,107180
2.844,107183
2.864,107299
2.882,107241
2.902,107123
2.922,107107
2.944,106982
2.962,106903
2.982,106924
3.002,106850
3.023,106770
3.043,106833
3.063,106824
3.083,106865
3.104,106943
3.123,106848
3.143,106840
3.163,106908
3.183,106905
3.204,106944
3.224,106999
3.244,106876
3.265,106883
3.284,106957
3.304,106919
3.324,106973
3.344,107060
3.362,106988
3.383,106986
3.403,107075
3.424,107036
3.442,107086
3.463,107161
3.483,107073
3.503,107073
3.523,107163
3.543,107132
3.563,107212
3.585,107263
3.603,107162
3.623,107166
3.643,107234
3.664,107213
3.684,107269
3.704,107361
3.724,107259
3.745,107243
3.764,107224
3.784,107093
3.804,107048
3.824,107011
3.845,106856
3.863,106855
3.883,106874
3.904,106843
3.925,106907
3.943,106941
3.963,106810
3.983,106829
4.003,106873
4.024,106826
4.044,106907
4.065,106930
4.083,106837
4.104,106848
4.124,106893
4.144,106849
4.164,106944
4.184,106968
4.205,106885
4.226,106918
4.244,106985
4.264,106955
4.285,107068
4.305,107075
4.323,106980
4.343,107025
4.363,107084
4.385,107067
4.405,107170
4.423,107187
4.443,107161
4.464,107437
4.484,107697
4.504,107971
4.524,108329
4.545,108409
4.564,108475
4.584,108864
4.604,109740
4.624,110800
4.644,111621
4.665,112064
4.685,112931
4.706,114454
4.725,115895
4.745,116972
4.765,117961
4.785,118573
4.805,118998
4.824,119486
4.844,119965
4.865,120383
4.885,120822
4.904,120988
4.924,121169
4.944,121594
4.964,121822
4.984,122014
5.004,122371
5.026,122557
5.044,122641
5.064,122922
5.084,123025
5.105,123119
5.125,123238
5.145,123074
5.165,122852
5.186,122875
5.205,122746
5.225,122630
5.245,122692
5.265,122431
5.286,122192
5.304,122160
5.324,121947
5.345,121789
5.366,121809
5.386,121607
5.404,121743
5.424,121445
5.444,120487
5.465,120179
5.485,120587
5.506,120786
5.525,120868
5.545,121028
5.565,120973
5.585,120987
5.605,121047
5.625,120871
5.646,120750
5.667,120757
5.685,120627
5.705,120624
5.726,120624
5.746,120371
5.766,120255
5.786,120244
5.804,120052
5.826,119994
5.846,119984
5.866,119751
