Time,Sensor 1
0,113565
0.04,113668
0.06,113715
0.08,113738
0.1,113726
0.12,113700
0.14,113575
0.16,113434
0.18,113339
0.2,113240
0.22,113169
0.24,113174
0.26,113187
0.28,113241
0.3,113303
0.32,113308
0.34,113374
0.36,113439
0.38,113432
0.4,113470
0.42,113462
0.44,113429
0.46,113450
0.48,113443
0.5,113457
0.52,113520
0.54,113508
0.56,113507
0.58,113559
0.6,113592
0.62,113632
0.64,113667
0.66,113650
0.68,113670
0.7,113719
0.72,113726
0.74,113750
0.76,113797
0.78,113768
0.8,113809
0.82,113838
0.84,113839
0.86,113887
0.88,113896
0.9,113828
0.92,113750
0.94,113618
0.96,113512
0.98,113467
1,113382
1.02,113382
1.04,113417
1.06,113456
1.08,113547
1.1,113623
1.12,113627
1.14,113700
1.16,113725
1.18,113741
1.2,113757
1.22,113719
1.24,113706
1.26,113725
1.28,113732
1.3,113758
1.32,113813
1.34,113821
1.36,113833
1.38,113896
1.4,113888
1.42,113977
1.44,113998
1.46,113974
1.48,113997
1.5,114029
1.52,114055
1.54,114110
1.56,114087
1.58,114074
1.6,114128
1.62,114130
1.64,114178
1.66,114221
1.68,114111
1.7,114006
1.72,113866
1.74,113730
1.76,113671
1.78,113617
1.8,113577
1.82,113618
1.84,113661
1.86,113681
1.88,113770
1.9,113774
1.92,113800
1.94,113840
1.96,113815
1.98,113830
2,113853
2.02,113813
2.04,113820
2.06,113846
2.08,113856
2.1,113896
2.12,113921
2.14,113947
2.16,113943
2.18,114002
2.2,114012
2.22,114067
2.24,114068
2.26,114058
2.28,114107
2.3,114112
2.32,114135
2.34,114160
2.36,114167
2.38,114163
2.4,114200
2.42,114202
2.44,114257
2.46,114267
2.48,114225
2.5,114167
2.52,114031
2.54,113900
2.56,113808
2.58,113696
2.6,113646
2.62,113673
2.64,113678
2.66,113712
2.68,113791
2.7,113795
2.72,113829
2.74,113876
2.76,113876
2.78,113908
2.8,113899
2.82,113854
2.84,113851
2.86,113874
2.88,113894
2.9,113924
2.92,113915
2.94,113938
2.96,113990
2.98,114001
3,114032
3.02,114094
3.04,114062
3.06,114093
3.08,114157
3.1,114128
3.12,114173
3.14,114179
3.16,114148
3.18,114191
3.2,114220
3.22,114222
3.24,114286
3.26,114301
3.28,114269
3.3,114299
3.32,114289
3.34,114171
3.36,114083
3.38,113882
3.4,113777
3.42,113740
3.44,113710
3.46,113752
3.48,113807
3.5,113787
3.52,113862
3.54,113919
3.56,113957
3.58,114010
3.6,114016
3.62,113965
3.64,113983
3.66,113965
3.68,113953
3.7,113982
3.72,113936
3.74,113966
3.76,114005
3.78,114038
3.8,114087
3.82,114116
3.84,114098
3.86,114123
3.88,114190
3.9,114173
3.92,114240
3.94,114232
3.96,114211
3.98,114256
4,114240
4.02,114266
4.04,114328
4.06,114308
4.08,114315
4.1,114367
4.12,114321
4.14,114260
4.16,114145
4.18,114168
4.2,114379
4.22,114757
4.24,115218
4.26,115474
4.28,115376
4.3,115443
4.32,115844
4.34,116349
4.36,116672
4.38,116677
4.4,116519
4.42,116480
4.44,116613
4.46,117044
4.48,117786
4.5,118755
4.52,120285
4.54,122275
4.56,123706
4.58,124815
4.6,126220
4.62,127740
4.64,128943
4.66,130025
4.68,130703
4.7,131322
4.72,132096
4.74,132878
4.76,133617
4.78,134199
4.8,134530
4.82,134948
4.84,135192
4.86,135216
4.88,135232
4.9,135173
4.92,135021
4.94,134948
4.96,134701
4.98,134395
5,134072
5.02,133857
5.04,133200
5.06,131795
5.08,130865
5.1,130237
5.12,129470
5.14,128170
5.16,125917
5.18,122710
5.2,120996
5.22,120056
5.24,119346
5.26,118824
5.28,118375
5.3,117919
5.32,117628
5.34,117370
5.36,117103
5.38,116904
5.4,116781
5.42,116584
5.44,116475
5.46,116370
5.48,116244
5.5,116177
5.52,116093
5.54,115941
5.56,115876
5.58,115803
5.6,115696
5.62,115659
5.64,115525
5.66,115401
5.68,115364
5.7,115275
5.72,115232
5.74,115186
5.76,115074
5.78,114991
5.8,114814
5.82,114548
5.84,114422
5.86,114222
5.88,114078
5.9,114039
5.92,114042
5.94,114052
5.96,114096
5.98,114082
6,114128
6.02,114192
6.04,114189
6.06,114219
6.08,114214
6.1,114152
6.12,114128
6.14,114103
6.16,114077
6.18,114122
6.2,114120
6.22,114111
6.24,114159
6.26,114170
6.28,114208
6.3,114249
6.32,114229
6.34,114241
6.36,114272
6.38,114277
6.4,114313
6.42,114332
6.44,114318
6.46,114345
6.48,114375
6.5,114388
6.52,114455
6.54,114446
6.56,114413
6.58,114341
6.6,114135
6.62,113989
6.64,113874
6.66,113733
6.68,113708
6.7,113716
6.72,113744
6.74,113811
6.76,113868
6.78,113865
6.8,113929
6.82,113992
6.84,113986
6.86,114028
6.88,113979
6.9,113925
6.92,113933
6.94,113929
6.96,113922
6.98,113982
7,113989
7.02,114004
7.04,114057
7.06,114071
7.08,114129
7.1,114182
7.12,114134
7.14,114182
7.16,114213
7.18,114217
7.2,114291
7.22,114303
7.24,114291
7.26,114324
7.28,114362
7.3,114397
7.32,114435
7.34,114396
7.36,114252
7.38,114093
7.4,113930
7.42,113826
7.44,113795
7.46,113712
7.48,113762
7.5,113826
7.52,113852
7.54,113905
7.56,113975
7.58,113970
7.6,114031
7.62,114048
7.64,114034
7.66,114073
7.68,114030
7.7,114025
7.72,114063
7.74,114060
7.76,114133
7.78,114181
7.8,114166
7.82,114215
7.84,114272
7.86,114285
7.88,114367
7.9,114356
7.92,114359
7.94,114402
7.96,114393
7.98,114406
8,114496
8.02,114464
8.04,114492
8.06,114536
8.08,114553
8.1,114572
8.12,114532
8.14,114389
8.16,114218
8.18,114127
8.2,114029
8.22,114030
8.24,114039
8.26,114029
8.28,114085
8.3,114143
8.32,114177
8.34,114258
8.36,114273
8.38,114278
8.4,114298
8.42,114259
8.44,114280
8.46,114287
8.48,114239
8.5,114261
8.52,114307
8.54,114282
8.56,114378
8.58,114387
8.6,114371
8.62,114431
8.64,114457
8.66,114469
8.68,114542
8.7,114499
8.72,114505
8.74,114549
8.76,114554
8.78,114568
8.8,114654
8.82,114622
8.84,114667
8.86,114682
8.88,114629
8.9,114577
8.92,114446
8.94,114298
8.96,114247
8.98,114239
9,114246
9.02,114292
9.04,114330
9.06,114342
9.08,114401
9.1,114485
9.12,114526
9.14,114563
9.16,114504
9.18,114525
9.2,114536
9.22,114518
9.24,114546
9.26,114567
9.28,114546
9.3,114576
9.32,114621
9.34,114628
9.36,114699
9.38,114696
9.4,114695
9.42,114734
9.44,114757
9.46,114792
9.48,114833
9.5,114823
9.52,114855
9.54,114893
9.56,114893
9.58,114962
9.6,114985
9.62,114912
9.64,114828
9.66,114707
9.68,114605
9.7,114558
9.72,114541
9.74,114519
9.76,114576
9.78,114613
9.8,114664
9.82,114742
9.84,114757
9.86,114788
9.88,114813
9.9,114820
9.92,114841
9.94,114852
9.96,114833
9.98,114846
10,114864
10.02,114868
10.04,114926
10.06,114931
10.08,114933
10.1,114980
10.12,115003
10.14,115035
10.16,115070
10.18,115052
10.2,115058
10.22,115105
10.24,115117
10.26,115176
10.28,115208
10.3,115173
10.32,115210
10.34,115216
10.36,115179
10.38,115141
10.4,115011
10.42,114866
10.44,114808
10.46,114788
10.48,114808
10.5,114853
10.52,114852
10.54,114872
10.56,114901
10.58,114937
10.6,115001
10.62,115018
10.64,114981
10.66,114990
10.68,115013
10.7,114983
10.72,115046
10.74,115035
10.76,115010
10.78,115042
10.8,115064
10.82,115083
10.84,115153
10.86,115128
10.88,115141
10.9,115185
10.92,115192
10.94,115232
10.96,115257
10.98,115240
11,115247
11.02,115273
11.04,115290
11.06,115334
11.08,115345
11.1,115338
11.12,115336
11.14,115324
11.16,115212
11.18,115151
11.2,115014
11.22,114941
11.24,114942
11.26,114947
11.28,114975
11.3,115043
11.32,115020
11.34,115051
11.36,115083
11.38,115111
11.4,115152
11.42,115152
11.44,115093
11.46,115130
11.48,115120
11.5,115109
11.52,115166
11.54,115144
11.56,115132
11.58,115198
11.6,115212
11.62,115240
11.64,115281
11.66,115256
11.68,115282
11.7,115312
11.72,115351
11.74,115331
11.76,115385
11.78,115352
11.8,115386
11.82,115427
11.84,115412
11.86,115481
11.88,115454
11.9,115464
11.92,115495
11.94,115489
11.96,115516
11.98,115524
12,115412
12.02,115311
12.04,115233
12.06,115136
12.08,115150
12.1,115174
12.12,115139
12.14,115169
12.16,115222
12.18,115244
12.2,115315
12.22,115334
12.24,115317
12.26,115324
12.28,115320
12.3,115313
12.32,115336
12.34,115293
12.36,115297
12.38,115320
12.4,115320
12.42,115364
12.44,115407
12.46,115378
12.48,115404
12.5,115431
12.52,115436
12.54,115487
12.56,115506
12.58,115474
12.6,115528
12.62,115518
12.64,115523
12.66,115577
12.68,115569
12.7,115545
12.72,115584
12.74,115606
12.76,115652
12.78,115676
12.8,115646
12.82,115653
12.84,115647
12.86,115564
12.88,115486
12.9,115371
12.92,115290
12.94,115278
12.96,115307
12.98,115313
13,115363
13.02,115375
13.04,115391
13.06,115450
13.08,115470
13.1,115503
13.12,115535
13.14,115474
13.16,115474
13.18,115479
13.2,115498
13.22,115497
13.24,115503
13.26,115479
13.28,115527
13.3,115545
13.32,115562
13.34,115621
13.36,115603
13.38,115602
13.4,115625
13.42,115648
13.44,115651
13.46,115708
13.48,115683
13.5,115701
13.52,115739
13.54,115728
13.56,115782
13.58,115810
13.6,115773
13.62,115811
13.64,115853
13.66,115835
13.68,115900
13.7,115898
13.72,115893
13.74,115884
13.76,115843
13.78,115710
13.8,115622
13.82,115494
13.84,115423
13.86,115418
13.88,115404
13.9,115446
13.92,115482
13.94,115469
13.96,115485
13.98,115554
14,115550
14.02,115597
14.04,115602
14.06,115569
14.08,115572
14.1,115572
14.12,115572
14.14,115615
14.16,115605
14.18,115580
14.2,115620
14.22,115658
14.24,115710
14.26,115747
14.28,115710
14.3,115734
14.32,115771
14.34,115781
14.36,115827
14.38,115852
14.4,115818
14.42,115852
14.44,115862
14.46,115893
14.48,115959
14.5,115938
14.52,115939
14.54,115985
14.56,115995
14.58,116013
14.6,116052
14.62,116030
14.64,116054
14.66,116110
14.68,116119
14.7,116151
14.72,116191
14.74,116145
14.76,116132
14.78,116046
14.8,115915
14.82,115815
14.84,115706
14.86,115631
14.88,115642
14.9,115642
14.92,115665
14.94,115720
14.96,115703
14.98,115715
15,115760
15.02,115760
15.04,115783
15.06,115820
15.08,115751
15.1,115756
15.12,115755
15.14,115766
15.16,115800
15.18,115776
15.2,115761
15.22,115781
15.24,115820
15.26,115839
15.28,115907
15.3,115900
15.32,115889
15.34,115912
15.36,115883
15.38,115949
15.4,115982
15.42,115937
15.44,115963
15.46,116002
15.48,115998
15.5,116046
15.52,116050
15.54,116022
15.56,116055
15.58,116094
15.6,116106
15.62,116129
15.64,116139
15.66,116090
15.68,116152
15.7,116155
15.72,116178
15.74,116182
15.76,116113
15.78,116004
15.8,115895
15.82,115762
15.84,115695
15.86,115708
15.88,115614
15.9,115665
15.92,115669
15.94,115698
15.96,115764
15.98,115771
16,115742
16.02,115763
16.04,115790
16.06,115773
16.08,115782
16.1,115746
16.12,115725
16.14,115735
16.16,115737
16.18,115760
16.2,115802
16.22,115784
16.24,115804
16.26,115863
16.28,115862
16.3,115914
16.32,115914
16.34,115879
16.36,115891
16.38,115931
16.4,115912
16.42,115966
16.44,115948
16.46,115935
16.48,115958
16.5,115969
16.52,115992
16.54,116034
16.56,115982
16.58,115996
16.6,116043
16.62,116047
16.64,116101
16.66,116126
16.68,116113
16.7,116132
16.72,116158
16.74,116083
16.76,116022
16.78,115865
16.8,115706
16.82,115651
16.84,115573
16.86,115577
16.88,115628
16.9,115633
16.92,115612
16.94,115669
16.96,115699
16.98,115748
17,115746
17.02,115733
17.04,115711
17.06,115715
17.08,115681
17.1,115707
17.12,115699
17.14,115679
17.16,115687
17.18,115716
17.2,115719
17.22,115769
17.24,115745
17.26,115727
17.28,115775
17.3,115763
17.32,115776
17.34,115790
17.36,115751
17.38,115761
17.4,115781
17.42,115753
17.44,115798
17.46,115812
17.48,115758
17.5,115793
17.52,115815
17.54,115803
17.56,115857
17.58,115842
17.6,115809
17.62,115824
17.64,115733
17.66,115625
17.68,115536
17.7,115386
17.72,115335
17.74,115320
17.76,115308
17.78,115367
17.8,115383
17.82,115413
17.84,115443
17.86,115476
17.88,115468
17.9,115519
17.92,115484
17.94,115451
17.96,115441
17.98,115416
18,115401
18.02,115448
18.04,115403
18.06,115405
18.08,115437
18.1,115454
18.12,115478
18.14,115515
18.16,115494
18.18,115481
18.2,115533
18.22,115523
18.24,115561
18.26,115546
18.28,115527
18.3,115559
18.32,115562
18.34,115585
18.36,115613
18.38,115591
18.4,115586
18.42,115602
18.44,115549
18.46,115493
18.48,115366
18.5,115231
18.52,115141
18.54,115095
18.56,115085
18.58,115124
18.6,115149
18.62,115130
18.64,115192
18.66,115232
18.68,115262
18.7,115302
18.72,115280
18.74,115244
18.76,115266
18.78,115249
18.8,115217
18.82,115251
18.84,115218
18.86,115222
18.88,115268
18.9,115276
18.92,115297
18.94,115332
18.96,115317
18.98,115352
19,115356
19.02,115329
19.04,115404
19.06,115405
19.08,115373
19.1,115398
19.12,115400
19.14,115422
19.16,115460
19.18,115422
19.2,115447
19.22,115476
19.24,115468
19.26,115411
19.28,115328
19.3,115167
19.32,115078
19.34,115017
19.36,114983
19.38,115020
19.4,115040
19.42,115015
19.44,115059
19.46,115092
19.48,115132
19.5,115194
19.52,115188
19.54,115175
19.56,115172
19.58,115175
19.6,115181
19.62,115217
19.64,115175
19.66,115189
19.68,115238
19.7,115246
19.72,115294
19.74,115309
19.76,115293
19.78,115332
19.8,115352
19.82,115360
19.84,115418
19.86,115405
19.88,115382
19.9,115414
19.92,115461
19.94,115461
19.96,115506
19.98,115482
20,115491
20.02,115522
20.04,115535
20.06,115591
20.08,115609
20.1,115538
20.12,115474
20.14,115353
20.16,115230
20.18,115199
20.2,115150
20.22,115119
20.24,115163
20.26,115170
20.28,115198
20.3,115277
20.32,115260
20.34,115301
20.36,115341
20.38,115351
20.4,115384
20.42,115424
20.44,115370
20.46,115367
20.48,115400
20.5,115412
20.52,115437
20.54,115474
20.56,115447
20.58,115497
20.6,115537
20.62,115528
20.64,115601
20.66,115607
20.68,115691
20.7,115625
20.72,115651
20.74,115663
20.76,115708
20.78,115704
20.8,115688
20.82,115744
20.84,115731
20.86,115774
20.88,115810
20.9,115783
20.92,115807
20.94,115844
20.96,115845
20.98,115903
21,115914
21.02,115891
21.04,115924
21.06,115948
21.08,115910
21.1,115878
21.12,115707
21.14,115533
21.16,115476
21.18,115458
21.2,115438
21.22,115488
21.24,115478
21.26,115472
21.28,115526
21.3,115532
21.32,115574
21.34,115598
21.36,115587
21.38,115623
21.4,115596
21.42,115613
21.44,115646
21.46,115645
21.48,115624
21.5,115619
21.52,115642
21.54,115641
21.56,115684
21.58,115686
21.6,115680
21.62,115714
21.64,115620
21.66,115740
21.68,115774
21.7,115752
21.72,115745
21.74,115796
21.76,115778
21.78,115886
21.8,115767
21.82,115795
21.84,115819
21.86,115886
21.88,115961
21.9,115977
21.92,115913
21.94,115870
21.96,115996
21.98,116005
22,115926
22.02,115997
22.04,115986
22.06,115977
22.08,116000
22.1,116007
22.12,115905
22.14,115886
22.16,115718
22.18,115619
22.2,115551
22.22,115541
22.24,115635
22.26,115669
22.28,115550
22.3,115635
22.32,115660
22.34,115735
22.36,115820
22.38,115711
22.4,115637
22.42,115606
22.44,115771
22.46,115696
22.48,115620
22.5,115552
22.52,115663
22.54,115711
22.56,115699
22.58,115729
22.6,115702
22.62,115745
22.64,115761
22.66,115781
22.68,115794
22.7,115845
22.72,115892
22.74,115896
22.76,115825
22.78,115858
22.8,115912
22.82,115983
22.84,115894
22.86,115821
22.88,115798
22.9,115991
22.92,115895
22.94,115947
22.96,116007
22.98,116018
23,116061
23.02,116082
23.04,116108
23.06,116075
23.08,116122
23.1,116114
23.12,116216
23.14,116182
23.16,116053
23.18,115997
23.2,115802
23.22,115795
23.24,115717
23.26,115681
23.28,115648
23.3,115691
23.32,115731
23.34,115819
23.36,115866
23.38,115761
23.4,115835
23.42,115890
23.44,115913
23.46,115925
23.48,115921
23.5,115913
23.52,115929
23.54,115885
23.56,115894
23.58,115983
23.6,115952
23.62,115914
23.64,115927
23.66,115941
23.68,115903
23.7,116014
23.72,115965
23.74,115974
23.76,115944
23.78,115961
23.8,116038
23.82,116064
23.84,116026
23.86,116007
23.88,116056
23.9,116089
23.92,116129
23.94,116111
23.96,116128
23.98,116159
24,116082
24.02,116154
24.04,116236
24.06,116165
24.08,116108
24.1,116162
24.12,116138
24.14,116144
24.16,116185
24.18,116162
24.2,116092
24.22,115977
24.24,115878
24.26,115861
24.28,115810
24.3,115764
24.32,115824
24.34,115809
24.36,115856
24.38,115902
24.4,115937
24.42,115980
24.44,115996
24.46,115949
24.48,115960
24.5,116023
24.52,115926
24.54,115861
24.56,115895
24.58,115852
24.6,115852
24.62,115885
24.64,115877
24.66,115893
24.68,115827
24.7,115899
24.72,115989
24.74,115976
24.76,115952
24.78,115983
24.8,116029
24.82,115999
24.84,116013
24.86,115963
24.88,116023
24.9,116025
24.92,115952
24.94,116018
24.96,115955
24.98,116017
25,115988
25.02,116023
25.04,115968
25.06,116028
25.08,116030
25.1,116025
25.12,116057
25.14,115964
25.16,115908
25.18,115859
25.2,115744
25.22,115641
25.24,115621
25.26,115623
25.28,115657
25.3,115664
25.32,115648
25.34,115743
25.36,115759
25.38,115707
25.4,115760
25.42,115769
25.44,115664
25.46,115735
25.48,115722
25.5,115682
25.52,115639
25.54,115674
25.56,115699
25.58,115761
25.6,115727
25.62,115730
25.64,115803
25.66,115780
25.68,115759
25.7,115814
25.72,115878
25.74,115839
25.76,115827
25.78,115810
25.8,115859
25.82,115835
25.84,115793
25.86,115826
25.88,115806
25.9,115753
25.92,115806
25.94,115814
25.96,115788
25.98,115815
26,115841
26.02,115853
26.04,115888
